"","Period","Price","name"
"1",47,117.290001,"APPLE"
"2",46,112.339996,"APPLE"
"3",45,121.059998,"APPLE"
"4",44,118.990662,"APPLE"
"5",43,118.572449,"APPLE"
"6",42,110.566719,"APPLE"
"7",41,111.64212,"APPLE"
"8",40,109.909531,"APPLE"
"9",39,114.221077,"APPLE"
"10",38,112.966446,"APPLE"
"11",37,113.723206,"APPLE"
"12",36,108.80426,"APPLE"
"13",35,112.807129,"APPLE"
"14",34,105.309227,"APPLE"
"15",33,115.465744,"APPLE"
"16",32,115.027618,"APPLE"
"17",31,120.238731,"APPLE"
"18",30,123.410736,"APPLE"
"19",29,128.485931,"APPLE"
"20",28,122.201408,"APPLE"
"21",27,125.333763,"APPLE"
"22",26,125.641045,"APPLE"
"23",25,125.492355,"APPLE"
"24",24,126.057373,"APPLE"
"25",23,127.524422,"APPLE"
"26",22,129.140167,"APPLE"
"27",21,131.380386,"APPLE"
"28",20,127.643379,"APPLE"
"29",19,126.503441,"APPLE"
"30",18,127.290092,"APPLE"
"31",17,128.602982,"APPLE"
"32",16,123.144157,"APPLE"
"33",15,125.463905,"APPLE"
"34",14,123.706825,"APPLE"
"35",13,121.663467,"APPLE"
"36",12,124.279358,"APPLE"
"37",11,121.999092,"APPLE"
"38",10,124.970345,"APPLE"
"39",9,126.806412,"APPLE"
"40",8,127.833015,"APPLE"
"41",7,125.444168,"APPLE"
"42",6,117.399078,"APPLE"
"43",5,115.197235,"APPLE"
"44",4,111.087257,"APPLE"
"45",3,104.214355,"APPLE"
"46",2,110.133507,"APPLE"
"47",1,107.498405,"APPLE"
"48",47,135.820007,"IBM"
"49",46,131.75,"IBM"
"50",45,138.25,"IBM"
"51",44,138.778229,"IBM"
"52",43,143.33548,"IBM"
"53",42,148.992416,"IBM"
"54",41,150.973831,"IBM"
"55",40,143.23642,"IBM"
"56",39,144.068604,"IBM"
"57",38,143.167053,"IBM"
"58",37,146.000488,"IBM"
"59",36,142.364594,"IBM"
"60",35,146.604813,"IBM"
"61",34,147.466736,"IBM"
"62",33,154.302612,"IBM"
"63",32,153.678467,"IBM"
"64",31,159.163345,"IBM"
"65",30,156.962433,"IBM"
"66",29,169.499771,"IBM"
"67",28,164.036789,"IBM"
"68",27,162.209244,"IBM"
"69",26,162.5728,"IBM"
"70",25,164.076111,"IBM"
"71",24,164.076111,"IBM"
"72",23,164.478943,"IBM"
"73",22,166.689682,"IBM"
"74",21,169.214844,"IBM"
"75",20,170.236679,"IBM"
"76",19,169.666809,"IBM"
"77",18,169.357864,"IBM"
"78",17,165.564438,"IBM"
"79",16,156.680649,"IBM"
"80",15,158.816269,"IBM"
"81",14,156.46611,"IBM"
"82",13,156.417343,"IBM"
"83",12,158.83577,"IBM"
"84",11,150.449295,"IBM"
"85",10,154.564529,"IBM"
"86",9,157.919113,"IBM"
"87",8,159.586639,"IBM"
"88",7,156.417343,"IBM"
"89",6,152.82872,"IBM"
"90",5,148.461945,"IBM"
"91",4,150.940994,"IBM"
"92",3,152.170837,"IBM"
"93",2,154.078537,"IBM"
"94",1,156.935257,"IBM"
"95",47,53.849998,"Microsoft"
"96",46,52.486225,"Microsoft"
"97",45,54.552296,"Microsoft"
"98",44,52.287563,"Microsoft"
"99",43,52.516022,"Microsoft"
"100",42,47.19191,"Microsoft"
"101",41,46.79459,"Microsoft"
"102",40,45.2649,"Microsoft"
"103",39,43.645809,"Microsoft"
"104",38,43.188892,"Microsoft"
"105",37,43.188892,"Microsoft"
"106",36,42.324718,"Microsoft"
"107",35,43.63588,"Microsoft"
"108",34,42.781635,"Microsoft"
"109",33,46.379482,"Microsoft"
"110",32,46.122917,"Microsoft"
"111",31,46.083443,"Microsoft"
"112",30,45.333477,"Microsoft"
"113",29,46.004498,"Microsoft"
"114",28,44.021038,"Microsoft"
"115",27,43.813812,"Microsoft"
"116",26,44.662453,"Microsoft"
"117",25,45.491364,"Microsoft"
"118",24,45.363083,"Microsoft"
"119",23,45.530838,"Microsoft"
"120",22,46.241333,"Microsoft"
"121",21,46.280804,"Microsoft"
"122",20,47.354565,"Microsoft"
"123",19,46.815331,"Microsoft"
"124",18,47.70752,"Microsoft"
"125",17,46.93298,"Microsoft"
"126",16,40.805321,"Microsoft"
"127",15,40.903366,"Microsoft"
"128",14,39.501354,"Microsoft"
"129",13,40.168045,"Microsoft"
"130",12,42.040657,"Microsoft"
"131",11,40.570019,"Microsoft"
"132",10,41.530838,"Microsoft"
"133",9,42.991669,"Microsoft"
"134",8,43.001476,"Microsoft"
"135",7,42.707348,"Microsoft"
"136",6,41.286041,"Microsoft"
"137",5,39.329311,"Microsoft"
"138",4,45.929626,"Microsoft"
"139",3,45.014542,"Microsoft"
"140",2,45.939362,"Microsoft"
"141",1,45.520756,"Microsoft"
