Period,Price
47,117.290001
46,112.339996
45,121.059998
44,118.990662
43,118.572449
42,110.566719
41,111.64212
40,109.909531
39,114.221077
38,112.966446
37,113.723206
36,108.80426
35,112.807129
34,105.309227
33,115.465744
32,115.027618
31,120.238731
30,123.410736
29,128.485931
28,122.201408
27,125.333763
26,125.641045
25,125.492355
24,126.057373
23,127.524422
22,129.140167
21,131.380386
20,127.643379
19,126.503441
18,127.290092
17,128.602982
16,123.144157
15,125.463905
14,123.706825
13,121.663467
12,124.279358
11,121.999092
10,124.970345
9,126.806412
8,127.833015
7,125.444168
6,117.399078
5,115.197235
4,111.087257
3,104.214355
2,110.133507
1,107.498405
