Period,Price
47,135.820007
46,131.75
45,138.25
44,138.778229
43,143.33548
42,148.992416
41,150.973831
40,143.23642
39,144.068604
38,143.167053
37,146.000488
36,142.364594
35,146.604813
34,147.466736
33,154.302612
32,153.678467
31,159.163345
30,156.962433
29,169.499771
28,164.036789
27,162.209244
26,162.5728
25,164.076111
24,164.076111
23,164.478943
22,166.689682
21,169.214844
20,170.236679
19,169.666809
18,169.357864
17,165.564438
16,156.680649
15,158.816269
14,156.46611
13,156.417343
12,158.83577
11,150.449295
10,154.564529
9,157.919113
8,159.586639
7,156.417343
6,152.82872
5,148.461945
4,150.940994
3,152.170837
2,154.078537
1,156.935257
