Period,Price
47,53.849998
46,52.486225
45,54.552296
44,52.287563
43,52.516022
42,47.19191
41,46.79459
40,45.2649
39,43.645809
38,43.188892
37,43.188892
36,42.324718
35,43.63588
34,42.781635
33,46.379482
32,46.122917
31,46.083443
30,45.333477
29,46.004498
28,44.021038
27,43.813812
26,44.662453
25,45.491364
24,45.363083
23,45.530838
22,46.241333
21,46.280804
20,47.354565
19,46.815331
18,47.70752
17,46.93298
16,40.805321
15,40.903366
14,39.501354
13,40.168045
12,42.040657
11,40.570019
10,41.530838
9,42.991669
8,43.001476
7,42.707348
6,41.286041
5,39.329311
4,45.929626
3,45.014542
2,45.939362
1,45.520756
